propertyCode,latitude,longitude
105792251,40.4348221,-3.6939341
104370088,40.4197139,-3.6863839
105935525,40.4259888,-3.6752502
104011225,40.4187309,-3.7007529
105376875,40.4168341,-3.6996125
106190483,40.4504015,-3.652252
104662130,40.4505033,-3.6418927
104254787,40.4729042,-3.823361
104079750,40.4603199,-3.6536889
86575273,40.450486,-3.6388953
105953148,40.4556753,-3.69252
105844720,40.4261384,-3.6781929
105656413,40.4199158,-3.7083691
104556674,40.3758939,-3.5800376
104556912,40.3758939,-3.5800376
104254611,40.3758939,-3.5800376
104554313,40.4747779,-3.7302159
105935279,40.421107,-3.6851897
104554398,40.4747779,-3.7302159
104554408,40.4747779,-3.7302159
105298740,40.4082711,-3.6744783
106269895,40.4568881,-3.7802324
105887154,40.4263227,-3.6811889
105718075,40.4344453,-3.7011733
105059338,40.4564867,-3.6523811
105439093,40.4304554,-3.6645559
104214883,40.4255046,-3.6855998
87516553,40.4344303,-3.7178318
100972482,40.4341283,-3.6615593
105354974,40.4362188,-3.6839812
105945107,40.4330901,-3.6806884
106053407,40.4348806,-3.6849664
106034136,40.4183464,-3.7010792
105692944,40.4334629,-3.6851523
105338148,40.4283008,-3.6773103
105379719,40.4154585,-3.6731429
106235078,40.3805789,-3.6229751
106232981,40.3789736,-3.6215996
105904644,40.4564463,-3.7021202
105425617,40.4233027,-3.6799069
105792251,40.4348221,-3.6939341
104370088,40.4197139,-3.6863839
105935525,40.4259888,-3.6752502
104011225,40.4187309,-3.7007529
105376875,40.4168341,-3.6996125
106190483,40.4504015,-3.652252
104662130,40.4505033,-3.6418927
104254787,40.4729042,-3.823361
104079750,40.4603199,-3.6536889
86575273,40.450486,-3.6388953
105953148,40.4556753,-3.69252
105844720,40.4261384,-3.6781929
105656413,40.4199158,-3.7083691
104556674,40.3758939,-3.5800376
104556912,40.3758939,-3.5800376
104254611,40.3758939,-3.5800376
104554313,40.4747779,-3.7302159
105935279,40.421107,-3.6851897
104554398,40.4747779,-3.7302159
104554408,40.4747779,-3.7302159
105298740,40.4082711,-3.6744783
106269895,40.4568881,-3.7802324
105887154,40.4263227,-3.6811889
105718075,40.4344453,-3.7011733
105059338,40.4564867,-3.6523811
105439093,40.4304554,-3.6645559
104214883,40.4255046,-3.6855998
87516553,40.4344303,-3.7178318
100972482,40.4341283,-3.6615593
105354974,40.4362188,-3.6839812
105945107,40.4330901,-3.6806884
106053407,40.4348806,-3.6849664
106034136,40.4183464,-3.7010792
105692944,40.4334629,-3.6851523
105338148,40.4283008,-3.6773103
105379719,40.4154585,-3.6731429
106235078,40.3805789,-3.6229751
106232981,40.3789736,-3.6215996
105904644,40.4564463,-3.7021202
105425617,40.4233027,-3.6799069
97875752,40.4667057,-3.6806596
102955387,40.4253428,-3.686584
101399733,40.4560948,-3.7923488
105893822,40.4549016,-3.7731325
106143023,40.4337886,-3.681939
106191081,40.4121216,-3.7054612
106137574,40.4292571,-3.689127
106083962,40.4273293,-3.6900325
104103711,40.466116,-3.6711564
103550321,40.4275241,-3.7190864
100421542,40.4237452,-3.6679603
106016508,40.4525841,-3.6199289
105684691,40.4952336,-3.6179899
96982668,40.4727078,-3.8145335
97801997,40.4794654,-3.741656
103792977,40.4736295,-3.8269709
105289238,40.4722832,-3.7269229
105891810,40.4540501,-3.6284867
105451572,40.4532374,-3.6222437
106280453,40.407724,-3.7244077
104111225,40.4676145,-3.6797877
101344227,40.4563102,-3.6264718
106071251,40.4208457,-3.6981382
106134199,40.4358265,-3.6480139
103952448,40.4686341,-3.6800244
106226512,40.444838,-3.6958114
105725419,40.4534258,-3.7788869
105829686,40.4226253,-3.6719929
105528344,40.4153473,-3.711604
104437905,40.4530195,-3.7127582
105449412,40.4382936,-3.6800193
104484357,40.4668104,-3.670843
105527162,40.481596,-3.6957855
103355651,40.3998472,-3.6732014
105743974,40.4239183,-3.7015427
105924592,40.4149055,-3.672681
104400450,40.480505,-3.741754
105968310,40.4102873,-3.714951
